DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
lymphoma,Escherichia coli,"The application of genetically engineered microbes, which have  higher specificity than FMT has shown promising antitumor ef- fects in preclinical models.120 Recent studies harnessed the target- ing abilities of certain strains (Salmonella and Clostridium) as carriers  for the delivery and induction of immune stimulants to delay tumor  growth and metastasis in melanoma, renal cell carcinoma, and osteo- sarcoma.121 In addition, SYNB1891, designed based on the biology  of Escherichia coli, has been modified to express the STING agonist  cyclic adenosine diphosphate ribose (CADPR), thereby stimulating  expression of IFNs and achieving antitumor effects in tumor- bearing  mouse models (melanoma, lymphoma, mammary carcinoma, and  colon carcinoma).122 Further, another study showed that the engi- neered Escherichia coli Nissle 1917 strain could colonize tumor sites,  converting ammonia to L- arginine, thereby increasing the intracellu- lar concentration of L- arginine in subcutaneous colonic cancer cells,  which further triggered intra- tumoral infiltration of CD4+ and CD8+  T cells, thus exerting synergistic antitumor effects when combined  with anti- PD- L1.123 Collectively, engineered microbiomes show po- tential as an adjuvant therapy against a few kinds of tumors, and  future research to evaluate their potency in brain tumors is merited.",What is the relationship between lymphoma and Escherichia coli?,positive
lymphoma,Escherichia,"The application of genetically engineered microbes, which have  higher specificity than FMT has shown promising antitumor ef- fects in preclinical models.120 Recent studies harnessed the target- ing abilities of certain strains (Salmonella and Clostridium) as carriers  for the delivery and induction of immune stimulants to delay tumor  growth and metastasis in melanoma, renal cell carcinoma, and osteo- sarcoma.121 In addition, SYNB1891, designed based on the biology  of Escherichia coli, has been modified to express the STING agonist  cyclic adenosine diphosphate ribose (CADPR), thereby stimulating  expression of IFNs and achieving antitumor effects in tumor- bearing  mouse models (melanoma, lymphoma, mammary carcinoma, and  colon carcinoma).122 Further, another study showed that the engi- neered Escherichia coli Nissle 1917 strain could colonize tumor sites,  converting ammonia to L- arginine, thereby increasing the intracellu- lar concentration of L- arginine in subcutaneous colonic cancer cells,  which further triggered intra- tumoral infiltration of CD4+ and CD8+  T cells, thus exerting synergistic antitumor effects when combined  with anti- PD- L1.123 Collectively, engineered microbiomes show po- tential as an adjuvant therapy against a few kinds of tumors, and  future research to evaluate their potency in brain tumors is merited.",What is the relationship between lymphoma and Escherichia?,positive
lymphoma,Clostridium,"The application of genetically engineered microbes, which have  higher specificity than FMT has shown promising antitumor ef- fects in preclinical models.120 Recent studies harnessed the target- ing abilities of certain strains (Salmonella and Clostridium) as carriers  for the delivery and induction of immune stimulants to delay tumor  growth and metastasis in melanoma, renal cell carcinoma, and osteo- sarcoma.121 In addition, SYNB1891, designed based on the biology  of Escherichia coli, has been modified to express the STING agonist  cyclic adenosine diphosphate ribose (CADPR), thereby stimulating  expression of IFNs and achieving antitumor effects in tumor- bearing  mouse models (melanoma, lymphoma, mammary carcinoma, and  colon carcinoma).122 Further, another study showed that the engi- neered Escherichia coli Nissle 1917 strain could colonize tumor sites,  converting ammonia to L- arginine, thereby increasing the intracellu- lar concentration of L- arginine in subcutaneous colonic cancer cells,  which further triggered intra- tumoral infiltration of CD4+ and CD8+  T cells, thus exerting synergistic antitumor effects when combined  with anti- PD- L1.123 Collectively, engineered microbiomes show po- tential as an adjuvant therapy against a few kinds of tumors, and  future research to evaluate their potency in brain tumors is merited.",What is the relationship between lymphoma and Clostridium?,positive
lymphoma,Salmonella,"The application of genetically engineered microbes, which have  higher specificity than FMT has shown promising antitumor ef- fects in preclinical models.120 Recent studies harnessed the target- ing abilities of certain strains (Salmonella and Clostridium) as carriers  for the delivery and induction of immune stimulants to delay tumor  growth and metastasis in melanoma, renal cell carcinoma, and osteo- sarcoma.121 In addition, SYNB1891, designed based on the biology  of Escherichia coli, has been modified to express the STING agonist  cyclic adenosine diphosphate ribose (CADPR), thereby stimulating  expression of IFNs and achieving antitumor effects in tumor- bearing  mouse models (melanoma, lymphoma, mammary carcinoma, and  colon carcinoma).122 Further, another study showed that the engi- neered Escherichia coli Nissle 1917 strain could colonize tumor sites,  converting ammonia to L- arginine, thereby increasing the intracellu- lar concentration of L- arginine in subcutaneous colonic cancer cells,  which further triggered intra- tumoral infiltration of CD4+ and CD8+  T cells, thus exerting synergistic antitumor effects when combined  with anti- PD- L1.123 Collectively, engineered microbiomes show po- tential as an adjuvant therapy against a few kinds of tumors, and  future research to evaluate their potency in brain tumors is merited.",What is the relationship between lymphoma and Salmonella?,positive
sarcoma,Escherichia coli,"The application of genetically engineered microbes, which have  higher specificity than FMT has shown promising antitumor ef- fects in preclinical models.120 Recent studies harnessed the target- ing abilities of certain strains (Salmonella and Clostridium) as carriers  for the delivery and induction of immune stimulants to delay tumor  growth and metastasis in melanoma, renal cell carcinoma, and osteo- sarcoma.121 In addition, SYNB1891, designed based on the biology  of Escherichia coli, has been modified to express the STING agonist  cyclic adenosine diphosphate ribose (CADPR), thereby stimulating  expression of IFNs and achieving antitumor effects in tumor- bearing  mouse models (melanoma, lymphoma, mammary carcinoma, and  colon carcinoma).122 Further, another study showed that the engi- neered Escherichia coli Nissle 1917 strain could colonize tumor sites,  converting ammonia to L- arginine, thereby increasing the intracellu- lar concentration of L- arginine in subcutaneous colonic cancer cells,  which further triggered intra- tumoral infiltration of CD4+ and CD8+  T cells, thus exerting synergistic antitumor effects when combined  with anti- PD- L1.123 Collectively, engineered microbiomes show po- tential as an adjuvant therapy against a few kinds of tumors, and  future research to evaluate their potency in brain tumors is merited.",What is the relationship between sarcoma and Escherichia coli?,positive
sarcoma,Escherichia,"The application of genetically engineered microbes, which have  higher specificity than FMT has shown promising antitumor ef- fects in preclinical models.120 Recent studies harnessed the target- ing abilities of certain strains (Salmonella and Clostridium) as carriers  for the delivery and induction of immune stimulants to delay tumor  growth and metastasis in melanoma, renal cell carcinoma, and osteo- sarcoma.121 In addition, SYNB1891, designed based on the biology  of Escherichia coli, has been modified to express the STING agonist  cyclic adenosine diphosphate ribose (CADPR), thereby stimulating  expression of IFNs and achieving antitumor effects in tumor- bearing  mouse models (melanoma, lymphoma, mammary carcinoma, and  colon carcinoma).122 Further, another study showed that the engi- neered Escherichia coli Nissle 1917 strain could colonize tumor sites,  converting ammonia to L- arginine, thereby increasing the intracellu- lar concentration of L- arginine in subcutaneous colonic cancer cells,  which further triggered intra- tumoral infiltration of CD4+ and CD8+  T cells, thus exerting synergistic antitumor effects when combined  with anti- PD- L1.123 Collectively, engineered microbiomes show po- tential as an adjuvant therapy against a few kinds of tumors, and  future research to evaluate their potency in brain tumors is merited.",What is the relationship between sarcoma and Escherichia?,positive
sarcoma,Clostridium,"The application of genetically engineered microbes, which have  higher specificity than FMT has shown promising antitumor ef- fects in preclinical models.120 Recent studies harnessed the target- ing abilities of certain strains (Salmonella and Clostridium) as carriers  for the delivery and induction of immune stimulants to delay tumor  growth and metastasis in melanoma, renal cell carcinoma, and osteo- sarcoma.121 In addition, SYNB1891, designed based on the biology  of Escherichia coli, has been modified to express the STING agonist  cyclic adenosine diphosphate ribose (CADPR), thereby stimulating  expression of IFNs and achieving antitumor effects in tumor- bearing  mouse models (melanoma, lymphoma, mammary carcinoma, and  colon carcinoma).122 Further, another study showed that the engi- neered Escherichia coli Nissle 1917 strain could colonize tumor sites,  converting ammonia to L- arginine, thereby increasing the intracellu- lar concentration of L- arginine in subcutaneous colonic cancer cells,  which further triggered intra- tumoral infiltration of CD4+ and CD8+  T cells, thus exerting synergistic antitumor effects when combined  with anti- PD- L1.123 Collectively, engineered microbiomes show po- tential as an adjuvant therapy against a few kinds of tumors, and  future research to evaluate their potency in brain tumors is merited.",What is the relationship between sarcoma and Clostridium?,positive
sarcoma,Salmonella,"The application of genetically engineered microbes, which have  higher specificity than FMT has shown promising antitumor ef- fects in preclinical models.120 Recent studies harnessed the target- ing abilities of certain strains (Salmonella and Clostridium) as carriers  for the delivery and induction of immune stimulants to delay tumor  growth and metastasis in melanoma, renal cell carcinoma, and osteo- sarcoma.121 In addition, SYNB1891, designed based on the biology  of Escherichia coli, has been modified to express the STING agonist  cyclic adenosine diphosphate ribose (CADPR), thereby stimulating  expression of IFNs and achieving antitumor effects in tumor- bearing  mouse models (melanoma, lymphoma, mammary carcinoma, and  colon carcinoma).122 Further, another study showed that the engi- neered Escherichia coli Nissle 1917 strain could colonize tumor sites,  converting ammonia to L- arginine, thereby increasing the intracellu- lar concentration of L- arginine in subcutaneous colonic cancer cells,  which further triggered intra- tumoral infiltration of CD4+ and CD8+  T cells, thus exerting synergistic antitumor effects when combined  with anti- PD- L1.123 Collectively, engineered microbiomes show po- tential as an adjuvant therapy against a few kinds of tumors, and  future research to evaluate their potency in brain tumors is merited.",What is the relationship between sarcoma and Salmonella?,positive
parkinson’s disease (PD),Escherichia coli,"The application of genetically engineered microbes, which have  higher specificity than FMT has shown promising antitumor ef- fects in preclinical models.120 Recent studies harnessed the target- ing abilities of certain strains (Salmonella and Clostridium) as carriers  for the delivery and induction of immune stimulants to delay tumor  growth and metastasis in melanoma, renal cell carcinoma, and osteo- sarcoma.121 In addition, SYNB1891, designed based on the biology  of Escherichia coli, has been modified to express the STING agonist  cyclic adenosine diphosphate ribose (CADPR), thereby stimulating  expression of IFNs and achieving antitumor effects in tumor- bearing  mouse models (melanoma, lymphoma, mammary carcinoma, and  colon carcinoma).122 Further, another study showed that the engi- neered Escherichia coli Nissle 1917 strain could colonize tumor sites,  converting ammonia to L- arginine, thereby increasing the intracellu- lar concentration of L- arginine in subcutaneous colonic cancer cells,  which further triggered intra- tumoral infiltration of CD4+ and CD8+  T cells, thus exerting synergistic antitumor effects when combined  with anti- PD- L1.123 Collectively, engineered microbiomes show po- tential as an adjuvant therapy against a few kinds of tumors, and  future research to evaluate their potency in brain tumors is merited.",What is the relationship between parkinson’s disease (PD) and Escherichia coli?,NA
parkinson’s disease (PD),Escherichia,"The application of genetically engineered microbes, which have  higher specificity than FMT has shown promising antitumor ef- fects in preclinical models.120 Recent studies harnessed the target- ing abilities of certain strains (Salmonella and Clostridium) as carriers  for the delivery and induction of immune stimulants to delay tumor  growth and metastasis in melanoma, renal cell carcinoma, and osteo- sarcoma.121 In addition, SYNB1891, designed based on the biology  of Escherichia coli, has been modified to express the STING agonist  cyclic adenosine diphosphate ribose (CADPR), thereby stimulating  expression of IFNs and achieving antitumor effects in tumor- bearing  mouse models (melanoma, lymphoma, mammary carcinoma, and  colon carcinoma).122 Further, another study showed that the engi- neered Escherichia coli Nissle 1917 strain could colonize tumor sites,  converting ammonia to L- arginine, thereby increasing the intracellu- lar concentration of L- arginine in subcutaneous colonic cancer cells,  which further triggered intra- tumoral infiltration of CD4+ and CD8+  T cells, thus exerting synergistic antitumor effects when combined  with anti- PD- L1.123 Collectively, engineered microbiomes show po- tential as an adjuvant therapy against a few kinds of tumors, and  future research to evaluate their potency in brain tumors is merited.",What is the relationship between parkinson’s disease (PD) and Escherichia?,NA
parkinson’s disease (PD),Clostridium,"The application of genetically engineered microbes, which have  higher specificity than FMT has shown promising antitumor ef- fects in preclinical models.120 Recent studies harnessed the target- ing abilities of certain strains (Salmonella and Clostridium) as carriers  for the delivery and induction of immune stimulants to delay tumor  growth and metastasis in melanoma, renal cell carcinoma, and osteo- sarcoma.121 In addition, SYNB1891, designed based on the biology  of Escherichia coli, has been modified to express the STING agonist  cyclic adenosine diphosphate ribose (CADPR), thereby stimulating  expression of IFNs and achieving antitumor effects in tumor- bearing  mouse models (melanoma, lymphoma, mammary carcinoma, and  colon carcinoma).122 Further, another study showed that the engi- neered Escherichia coli Nissle 1917 strain could colonize tumor sites,  converting ammonia to L- arginine, thereby increasing the intracellu- lar concentration of L- arginine in subcutaneous colonic cancer cells,  which further triggered intra- tumoral infiltration of CD4+ and CD8+  T cells, thus exerting synergistic antitumor effects when combined  with anti- PD- L1.123 Collectively, engineered microbiomes show po- tential as an adjuvant therapy against a few kinds of tumors, and  future research to evaluate their potency in brain tumors is merited.",What is the relationship between parkinson’s disease (PD) and Clostridium?,NA
parkinson’s disease (PD),Salmonella,"The application of genetically engineered microbes, which have  higher specificity than FMT has shown promising antitumor ef- fects in preclinical models.120 Recent studies harnessed the target- ing abilities of certain strains (Salmonella and Clostridium) as carriers  for the delivery and induction of immune stimulants to delay tumor  growth and metastasis in melanoma, renal cell carcinoma, and osteo- sarcoma.121 In addition, SYNB1891, designed based on the biology  of Escherichia coli, has been modified to express the STING agonist  cyclic adenosine diphosphate ribose (CADPR), thereby stimulating  expression of IFNs and achieving antitumor effects in tumor- bearing  mouse models (melanoma, lymphoma, mammary carcinoma, and  colon carcinoma).122 Further, another study showed that the engi- neered Escherichia coli Nissle 1917 strain could colonize tumor sites,  converting ammonia to L- arginine, thereby increasing the intracellu- lar concentration of L- arginine in subcutaneous colonic cancer cells,  which further triggered intra- tumoral infiltration of CD4+ and CD8+  T cells, thus exerting synergistic antitumor effects when combined  with anti- PD- L1.123 Collectively, engineered microbiomes show po- tential as an adjuvant therapy against a few kinds of tumors, and  future research to evaluate their potency in brain tumors is merited.",What is the relationship between parkinson’s disease (PD) and Salmonella?,NA
Inflammatory bowel disease (IBD),Clostridium leptum,"For inflammatory bowel disease (IBD) patients, significant reduction of Clostridium leptum was observed, which contributed to reduced short chain fatty acids and dysbiosis (57).",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium leptum?,negative
Inflammatory bowel disease (IBD),Clostridium,"For inflammatory bowel disease (IBD) patients, significant reduction of Clostridium leptum was observed, which contributed to reduced short chain fatty acids and dysbiosis (57).",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium?,negative
endocarditis,enterococci,"Now enterococci  have become common nosocomial pathogens, and entero- coccal infections include surgical wound infection, hepato- biliary sepsis, urinary tract infections, bacteraemia and neo- natal sepsis endocarditis [26].",What is the relationship between endocarditis and enterococci?,positive
sepsis,enterococci,"Now enterococci  have become common nosocomial pathogens, and entero- coccal infections include surgical wound infection, hepato- biliary sepsis, urinary tract infections, bacteraemia and neo- natal sepsis endocarditis [26].",What is the relationship between sepsis and enterococci?,positive
sepsis,Paenibacillus,"Recently, a case of sepsis due to bacteremia from Lysinibacillus and Paenibacillus was reported [28].",What is the relationship between sepsis and Paenibacillus?,positive
sepsis,Lysinibacillus,"Recently, a case of sepsis due to bacteremia from Lysinibacillus and Paenibacillus was reported [28].",What is the relationship between sepsis and Lysinibacillus?,positive
sickle cell anemia,Paenibacillus alvei,"Some Paenibacillus species,  such as Paenibacillus alvei, P. polymyxa and P. macerans,  are pathogenic, which have been isolated from patients suf- fering from sickle cell anemia, meningitis and wound infec- tion [34].",What is the relationship between sickle cell anemia and Paenibacillus alvei?,positive
sickle cell anemia,Paenibacillus,"Some Paenibacillus species,  such as Paenibacillus alvei, P. polymyxa and P. macerans,  are pathogenic, which have been isolated from patients suf- fering from sickle cell anemia, meningitis and wound infec- tion [34].",What is the relationship between sickle cell anemia and Paenibacillus?,positive
sickle cell anemia,P. polymyxa,"Some Paenibacillus species,  such as Paenibacillus alvei, P. polymyxa and P. macerans,  are pathogenic, which have been isolated from patients suf- fering from sickle cell anemia, meningitis and wound infec- tion [34].",What is the relationship between sickle cell anemia and P. polymyxa?,positive
sickle cell anemia,P. macerans,"Some Paenibacillus species,  such as Paenibacillus alvei, P. polymyxa and P. macerans,  are pathogenic, which have been isolated from patients suf- fering from sickle cell anemia, meningitis and wound infec- tion [34].",What is the relationship between sickle cell anemia and P. macerans?,positive
meningitis,Paenibacillus alvei,"Some Paenibacillus species,  such as Paenibacillus alvei, P. polymyxa and P. macerans,  are pathogenic, which have been isolated from patients suf- fering from sickle cell anemia, meningitis and wound infec- tion [34].",What is the relationship between meningitis and Paenibacillus alvei?,positive
meningitis,Paenibacillus,"Some Paenibacillus species,  such as Paenibacillus alvei, P. polymyxa and P. macerans,  are pathogenic, which have been isolated from patients suf- fering from sickle cell anemia, meningitis and wound infec- tion [34].",What is the relationship between meningitis and Paenibacillus?,positive
meningitis,P. polymyxa,"Some Paenibacillus species,  such as Paenibacillus alvei, P. polymyxa and P. macerans,  are pathogenic, which have been isolated from patients suf- fering from sickle cell anemia, meningitis and wound infec- tion [34].",What is the relationship between meningitis and P. polymyxa?,positive
meningitis,P. macerans,"Some Paenibacillus species,  such as Paenibacillus alvei, P. polymyxa and P. macerans,  are pathogenic, which have been isolated from patients suf- fering from sickle cell anemia, meningitis and wound infec- tion [34].",What is the relationship between meningitis and P. macerans?,positive
anemia,Paenibacillus alvei,"Some Paenibacillus species,  such as Paenibacillus alvei, P. polymyxa and P. macerans,  are pathogenic, which have been isolated from patients suf- fering from sickle cell anemia, meningitis and wound infec- tion [34].",What is the relationship between anemia and Paenibacillus alvei?,positive
anemia,Paenibacillus,"Some Paenibacillus species,  such as Paenibacillus alvei, P. polymyxa and P. macerans,  are pathogenic, which have been isolated from patients suf- fering from sickle cell anemia, meningitis and wound infec- tion [34].",What is the relationship between anemia and Paenibacillus?,positive
anemia,P. polymyxa,"Some Paenibacillus species,  such as Paenibacillus alvei, P. polymyxa and P. macerans,  are pathogenic, which have been isolated from patients suf- fering from sickle cell anemia, meningitis and wound infec- tion [34].",What is the relationship between anemia and P. polymyxa?,positive
anemia,P. macerans,"Some Paenibacillus species,  such as Paenibacillus alvei, P. polymyxa and P. macerans,  are pathogenic, which have been isolated from patients suf- fering from sickle cell anemia, meningitis and wound infec- tion [34].",What is the relationship between anemia and P. macerans?,positive
diarrhea,Escherichia coli,"reported that Bifidobacterium significantly reduced IFN-g and improved IL-10, alleviating enterotoxigenic Escherichia coli-induced diarrhea and can be a potential probiotic for clinical therapy (Yang et al., 2021).",What is the relationship between diarrhea and Escherichia coli?,positive
diarrhea,Bifidobacterium,"reported that Bifidobacterium significantly reduced IFN-g and improved IL-10, alleviating enterotoxigenic Escherichia coli-induced diarrhea and can be a potential probiotic for clinical therapy (Yang et al., 2021).",What is the relationship between diarrhea and Bifidobacterium?,negative
diarrhea,Escherichia,"reported that Bifidobacterium significantly reduced IFN-g and improved IL-10, alleviating enterotoxigenic Escherichia coli-induced diarrhea and can be a potential probiotic for clinical therapy (Yang et al., 2021).",What is the relationship between diarrhea and Escherichia?,positive
diarrhea,Lactobacillus plantarum,"found that enterotoxigenic E. coli-induced diarrhea can also be suppressed by orally given Lactobacillus plantarum via regulating IFN-g, IL-6, and IL-10; alternating gut microbes; and increasing gut SCFAs (Yue et al., 2020).",What is the relationship between diarrhea and Lactobacillus plantarum?,negative
diarrhea,Lactobacillus,"found that enterotoxigenic E. coli-induced diarrhea can also be suppressed by orally given Lactobacillus plantarum via regulating IFN-g, IL-6, and IL-10; alternating gut microbes; and increasing gut SCFAs (Yue et al., 2020).",What is the relationship between diarrhea and Lactobacillus?,negative
colorectal cancer (CRC),Bifidobacterium,"As supported by a systematic review, Lactobacillus and Bifidobacterium exerted the anti-inflammation effect mainly through the enhancement of tight junction function in colorectal cancer patients (Wierzbicka et al., 2021).",What is the relationship between colorectal cancer (CRC) and Bifidobacterium?,negative
colorectal cancer (CRC),Lactobacillus,"As supported by a systematic review, Lactobacillus and Bifidobacterium exerted the anti-inflammation effect mainly through the enhancement of tight junction function in colorectal cancer patients (Wierzbicka et al., 2021).",What is the relationship between colorectal cancer (CRC) and Lactobacillus?,negative
stroke,Bifidobacterium,"found that the transplantation of SCFA-producing bacteria represented by Bifidobacterium and Lactobacillus could alleviate neurological deficits and inflammation after stroke, and elevated SCFA concentrations of gut, brain, and plasma in aged stroke mice (Lee et al., 2020).",What is the relationship between stroke and Bifidobacterium?,negative
stroke,Lactobacillus,"found that the transplantation of SCFA-producing bacteria represented by Bifidobacterium and Lactobacillus could alleviate neurological deficits and inflammation after stroke, and elevated SCFA concentrations of gut, brain, and plasma in aged stroke mice (Lee et al., 2020).",What is the relationship between stroke and Lactobacillus?,negative
lupus,Firmicutes,"Importantly, Firmicutes are inversely correlated with the SLE disease activity index (SLEDAI score) (20), indicating that Firmicutes can delay lupus progression.",What is the relationship between lupus and Firmicutes?,negative
lupus,Lachnospiraceae,"Moreover, Lachnospiraceae is strongly associated with lupus progression in MRL/lpr mice.",What is the relationship between lupus and Lachnospiraceae?,positive
lupus,Lactobacillaceae,"In contrast, the intestinal colonization of Lactobacillaceae was negatively correlated to the lupus activity in mice.",What is the relationship between lupus and Lactobacillaceae?,negative
lupus,Lachnospiraceae,"Another study reported similar results; antibiotic treatment can eliminate harmful microbiota Lachnospiraceae and enrich the probiotic Lactobacillus Spp., thereby attenuating lupus (27).",What is the relationship between lupus and Lachnospiraceae?,positive
lupus,Lactobacillus,"Another study reported similar results; antibiotic treatment can eliminate harmful microbiota Lachnospiraceae and enrich the probiotic Lactobacillus Spp., thereby attenuating lupus (27).",What is the relationship between lupus and Lactobacillus?,negative
lupus,Enterococcus gallinarum,"In addition, Enterococcus gallinarum, a specific pathogenic bacterium in (NZW   BXSB) F1 lupus mice, was shown to induce intestinal barrier impairments and translocate to the liver Pan et al.",What is the relationship between lupus and Enterococcus gallinarum?,positive
lupus,Enterococcus,"In addition, Enterococcus gallinarum, a specific pathogenic bacterium in (NZW   BXSB) F1 lupus mice, was shown to induce intestinal barrier impairments and translocate to the liver Pan et al.",What is the relationship between lupus and Enterococcus?,positive
lupus,lactobacilli,Retinoic acid as a dietary intervention increased lactobacilli and relieved lupus severity.,What is the relationship between lupus and lactobacilli?,negative
Antiphospholipid Syndrome (APS),Roseburia intestinalis,"On the other hand, the intestinal commensal Roseburia intestinalis (R. int) mimotope cross-react with b2GPI-reactive memory CD4+ Th1 cells and produce anti-R. int autoantibodies in patients with APS (49).",What is the relationship between Antiphospholipid Syndrome (APS) and Roseburia intestinalis?,positive
Antiphospholipid Syndrome (APS),Roseburia,"On the other hand, the intestinal commensal Roseburia intestinalis (R. int) mimotope cross-react with b2GPI-reactive memory CD4+ Th1 cells and produce anti-R. int autoantibodies in patients with APS (49).",What is the relationship between Antiphospholipid Syndrome (APS) and Roseburia?,positive
sepsis,Enterococcus gallinarum,Enterococcus gallinarum (E. gallinarum) is a human intestinal commensal bacterium that can invade the blood to induce sepsis when the immunity of the organism is low (60).,What is the relationship between sepsis and Enterococcus gallinarum?,positive
sepsis,Enterococcus,Enterococcus gallinarum (E. gallinarum) is a human intestinal commensal bacterium that can invade the blood to induce sepsis when the immunity of the organism is low (60).,What is the relationship between sepsis and Enterococcus?,positive
lupus,Lachnospiraceae,"For example, over-colonization of Lachnospiraceae in the intestinal tract of female MRL/lpr lupus mice was associated with early onset or exacerbation of lupus, but not in male mice (26).",What is the relationship between lupus and Lachnospiraceae?,positive
lupus,Lachnospiraceae,Another study showed an increase in Lachnospiraceae and exacerbation of lupus in the gut microbiota of MRL/lpr mice after administering a phytoestrogen- supplemented diet (66).,What is the relationship between lupus and Lachnospiraceae?,positive
lupus nephritis,Lactobacillus,"found that Lactobacillus treatment ameliorated lupus nephritis, increased IL-10, and decreased luteinizing hormone in female and emasculated male MRL/lpr mice, but not in intact male mice (11).",What is the relationship between lupus nephritis and Lactobacillus?,negative
lupus,Lactobacillus,"found that Lactobacillus treatment ameliorated lupus nephritis, increased IL-10, and decreased luteinizing hormone in female and emasculated male MRL/lpr mice, but not in intact male mice (11).",What is the relationship between lupus and Lactobacillus?,negative
lupus,lactobacilli,Dietary retinoic acids supplementation could upregulate lactobacilli and ameliorate lupus in MRL/lpr mice (26).,What is the relationship between lupus and lactobacilli?,negative
lupus,Lactobacillus,"For example, NZB/W F1 mice treated with dexamethasone had increased diversity of intestinal bacteria and a significant reduction in a certain Lactobacillus species associated with lupus progression (101).",What is the relationship between lupus and Lactobacillus?,negative
lupus,Lactobacillus,"Moreover, Lactobacillus contributes to the alleviation of lupus severity by upregulating Foxp3+ regulatory T (Treg) cells (102).",What is the relationship between lupus and Lactobacillus?,negative
multiple sclerosis (MS),Paraprevotella,"Paraprevotella and Faecalibacterium) in both TCM syndromes compared to the healthy control group, implying the shared intestinal microbiota and pathophysiological characteristics of the two MS subtypes.",What is the relationship between multiple sclerosis (MS) and Paraprevotella?,relate
multiple sclerosis (MS),Faecalibacterium,"Paraprevotella and Faecalibacterium) in both TCM syndromes compared to the healthy control group, implying the shared intestinal microbiota and pathophysiological characteristics of the two MS subtypes.",What is the relationship between multiple sclerosis (MS) and Faecalibacterium?,relate
multiple sclerosis (MS),Akkermansia,"Even though patients of both TCM syndromes of MS differed considerably from healthy participants, Akkermansia was the only significant genus between them after FDR correction (FDR-corrected p<0.05).",What is the relationship between multiple sclerosis (MS) and Akkermansia?,relate
multiple sclerosis (MS),Faecalibacterium,"the increase of Lactobacillus and decrease of Faecalibacterium in patients with MS (26, 28), which were also observed in our QYLX and TSZE syndromes of MS, respectively.",What is the relationship between multiple sclerosis (MS) and Faecalibacterium?,negative
multiple sclerosis (MS),Lactobacillus,"the increase of Lactobacillus and decrease of Faecalibacterium in patients with MS (26, 28), which were also observed in our QYLX and TSZE syndromes of MS, respectively.",What is the relationship between multiple sclerosis (MS) and Lactobacillus?,positive
multiple sclerosis (MS),Akkermansia,"The relative abundance of Akkermansia was reported to be lower in MS patients (26, 29), but we observed here a significant increase in the patients with TSZE syndrome of MS compared to the healthy control participants.",What is the relationship between multiple sclerosis (MS) and Akkermansia?,positive
multiple sclerosis (MS),Ruminococcus,"Interestingly, the aforementioned genera Coprococcus and Ruminococcus, which were decreased in patients with the TCM syndromes of MS, are also butyrate-producing bacteria (34).",What is the relationship between multiple sclerosis (MS) and Ruminococcus?,negative
multiple sclerosis (MS),Coprococcus,"Interestingly, the aforementioned genera Coprococcus and Ruminococcus, which were decreased in patients with the TCM syndromes of MS, are also butyrate-producing bacteria (34).",What is the relationship between multiple sclerosis (MS) and Coprococcus?,negative
cardiovascular disease,Porphyromonas gingivalis,"showed that atherosclerotic plaques in human  endarterectomy specimens contain DNA from  a variety of bacteria, such as Prevotella intermedia,  Porphyromonas gingivalis, Actinobacillus actinomy  cetemcomitans,  and  Bacteroides  forsythus.73  However, the intestinal microbiota of patients  with atherosclerotic cardiovascular disease is dif  ferent from that of healthy individuals.",What is the relationship between cardiovascular disease and Porphyromonas gingivalis?,positive
cardiovascular disease,Prevotella intermedia,"showed that atherosclerotic plaques in human  endarterectomy specimens contain DNA from  a variety of bacteria, such as Prevotella intermedia,  Porphyromonas gingivalis, Actinobacillus actinomy  cetemcomitans,  and  Bacteroides  forsythus.73  However, the intestinal microbiota of patients  with atherosclerotic cardiovascular disease is dif  ferent from that of healthy individuals.",What is the relationship between cardiovascular disease and Prevotella intermedia?,positive
cardiovascular disease,Actinobacillus,"showed that atherosclerotic plaques in human  endarterectomy specimens contain DNA from  a variety of bacteria, such as Prevotella intermedia,  Porphyromonas gingivalis, Actinobacillus actinomy  cetemcomitans,  and  Bacteroides  forsythus.73  However, the intestinal microbiota of patients  with atherosclerotic cardiovascular disease is dif  ferent from that of healthy individuals.",What is the relationship between cardiovascular disease and Actinobacillus?,positive
cardiovascular disease,Porphyromonas,"showed that atherosclerotic plaques in human  endarterectomy specimens contain DNA from  a variety of bacteria, such as Prevotella intermedia,  Porphyromonas gingivalis, Actinobacillus actinomy  cetemcomitans,  and  Bacteroides  forsythus.73  However, the intestinal microbiota of patients  with atherosclerotic cardiovascular disease is dif  ferent from that of healthy individuals.",What is the relationship between cardiovascular disease and Porphyromonas?,positive
cardiovascular disease,Bacteroides,"showed that atherosclerotic plaques in human  endarterectomy specimens contain DNA from  a variety of bacteria, such as Prevotella intermedia,  Porphyromonas gingivalis, Actinobacillus actinomy  cetemcomitans,  and  Bacteroides  forsythus.73  However, the intestinal microbiota of patients  with atherosclerotic cardiovascular disease is dif  ferent from that of healthy individuals.",What is the relationship between cardiovascular disease and Bacteroides?,positive
