DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
Inflammatory bowel disease (IBD),Prevotellaceae,"In a stable environment, sIgA is important for the dynamic balance within the gut microbiota. When the pathogen secretes immunosuppressive protein, it can lead to the destruction of the intestinal immune barrier. IgA-coated bacteria from IBD patients are shown to invade into the mucus layer and exacerbate dextran sulfate sodium (DSS)-induced colitis in mouse models including Prevotellaceae, Helicobacter, and Segmented filamentous bacteria (SFB) (Kayama et al., 2020). The IgA coating patterns of gut microbiota in the IBD cohort were analyzed by using IgA-SEQ profiling, which found that the IgA coating levels of 43 bacterial taxa in IBD patients were higher than those in healthy individuals. The IgA coating levels of Vibrio can predict disease progression. ",What is the relationship between Inflammatory bowel disease (IBD) and Prevotellaceae?,positive
Inflammatory bowel disease (IBD),Helicobacter,"In a stable environment, sIgA is important for the dynamic balance within the gut microbiota. When the pathogen secretes immunosuppressive protein, it can lead to the destruction of the intestinal immune barrier. IgA-coated bacteria from IBD patients are shown to invade into the mucus layer and exacerbate dextran sulfate sodium (DSS)-induced colitis in mouse models including Prevotellaceae, Helicobacter, and Segmented filamentous bacteria (SFB) (Kayama et al., 2020). The IgA coating patterns of gut microbiota in the IBD cohort were analyzed by using IgA-SEQ profiling, which found that the IgA coating levels of 43 bacterial taxa in IBD patients were higher than those in healthy individuals. The IgA coating levels of Vibrio can predict disease progression. ",What is the relationship between Inflammatory bowel disease (IBD) and Helicobacter?,positive
Inflammatory bowel disease (IBD),Clostridium difficile,"Based on the key role of the gut microbiota in the pathogenesis of IBD, FMT can restore the intestinal mucosal immune homeostasis for patients with IBD, which is also a current research hotspot. FMT can be applied for moderate to severe IBD complicated with recurrent or refractory Clostridium difficile infection (Colman and Rubin, 2014; Nishida et al., 2017; Goyal et al., 2018; Saha et al., 2021). Physiological and genetic factors related to donors or recipients will affect the curative effect. In addition, the use of specific flora and the method of administration should be reasonably designed and controlled. The factors to be considered in the selection of the flora include the abundance, classification, and composition of the bacterial community and whether to carry out antibiotic pretreatment.",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium difficile?,positive
Inflammatory bowel disease (IBD),Clostridium,"Based on the key role of the gut microbiota in the pathogenesis of IBD, FMT can restore the intestinal mucosal immune homeostasis for patients with IBD, which is also a current research hotspot. FMT can be applied for moderate to severe IBD complicated with recurrent or refractory Clostridium difficile infection (Colman and Rubin, 2014; Nishida et al., 2017; Goyal et al., 2018; Saha et al., 2021). Physiological and genetic factors related to donors or recipients will affect the curative effect. In addition, the use of specific flora and the method of administration should be reasonably designed and controlled. The factors to be considered in the selection of the flora include the abundance, classification, and composition of the bacterial community and whether to carry out antibiotic pretreatment.",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium?,positive
Inflammatory bowel disease (IBD),Roseburia,"Vedolizumab is a humanized monoclonal antibody, which can specifically bind to lymphocyte integrin α4β7, and thus inhibits the migration of lymphocytes from vascular endothelium to intestinal tissue (Fleisher et al., 2018). Xavier et al. found that 85 IBD patients receiving vedolizumab responded with high levels of Roseburia inulinivorans and Burkholderiales as the therapeutic effect. The authors identified 13 metabolic pathways that were more active in the intestinal bacteria of CD patients after remission (Stevens et al., 2017).",What is the relationship between Inflammatory bowel disease (IBD) and Roseburia?,positive
Inflammatory bowel disease (IBD),Burkholderiales,"Vedolizumab is a humanized monoclonal antibody, which can specifically bind to lymphocyte integrin α4β7, and thus inhibits the migration of lymphocytes from vascular endothelium to intestinal tissue (Fleisher et al., 2018). Xavier et al. found that 85 IBD patients receiving vedolizumab responded with high levels of Roseburia inulinivorans and Burkholderiales as the therapeutic effect. The authors identified 13 metabolic pathways that were more active in the intestinal bacteria of CD patients after remission (Stevens et al., 2017).",What is the relationship between Inflammatory bowel disease (IBD) and Burkholderiales?,positive
Inflammatory bowel disease (IBD),Methanosphaera stadtmanae,"Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014). The abundance of SCFA-producing bacteria that possess anti-inflammatory abilities is also observed to be reduced in IBD, which consequently exacerbates symptoms of IBD (Liu et al., 2021; Haneishi et al., 2023). Other non-bacterial microbiota, such as archaeome, mycobiome, virome, and eukaryotic parasites, also change in IBD (Matijašić et al., 2020). Further, the microbial community also differs in UC and CD patients (Qin et al., 2010).",What is the relationship between Inflammatory bowel disease (IBD) and Methanosphaera stadtmanae?,relate
Inflammatory bowel disease (IBD),Yersinia,"Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014). The abundance of SCFA-producing bacteria that possess anti-inflammatory abilities is also observed to be reduced in IBD, which consequently exacerbates symptoms of IBD (Liu et al., 2021; Haneishi et al., 2023). Other non-bacterial microbiota, such as archaeome, mycobiome, virome, and eukaryotic parasites, also change in IBD (Matijašić et al., 2020). Further, the microbial community also differs in UC and CD patients (Qin et al., 2010).",What is the relationship between Inflammatory bowel disease (IBD) and Yersinia?,relate
Inflammatory bowel disease (IBD),Helicobacter,"Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014). The abundance of SCFA-producing bacteria that possess anti-inflammatory abilities is also observed to be reduced in IBD, which consequently exacerbates symptoms of IBD (Liu et al., 2021; Haneishi et al., 2023). Other non-bacterial microbiota, such as archaeome, mycobiome, virome, and eukaryotic parasites, also change in IBD (Matijašić et al., 2020). Further, the microbial community also differs in UC and CD patients (Qin et al., 2010).",What is the relationship between Inflammatory bowel disease (IBD) and Helicobacter?,relate
Inflammatory bowel disease (IBD),Listeria,"Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014). The abundance of SCFA-producing bacteria that possess anti-inflammatory abilities is also observed to be reduced in IBD, which consequently exacerbates symptoms of IBD (Liu et al., 2021; Haneishi et al., 2023). Other non-bacterial microbiota, such as archaeome, mycobiome, virome, and eukaryotic parasites, also change in IBD (Matijašić et al., 2020). Further, the microbial community also differs in UC and CD patients (Qin et al., 2010).",What is the relationship between Inflammatory bowel disease (IBD) and Listeria?,relate
Inflammatory bowel disease (IBD),Klebsiella,"Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014). The abundance of SCFA-producing bacteria that possess anti-inflammatory abilities is also observed to be reduced in IBD, which consequently exacerbates symptoms of IBD (Liu et al., 2021; Haneishi et al., 2023). Other non-bacterial microbiota, such as archaeome, mycobiome, virome, and eukaryotic parasites, also change in IBD (Matijašić et al., 2020). Further, the microbial community also differs in UC and CD patients (Qin et al., 2010).",What is the relationship between Inflammatory bowel disease (IBD) and Klebsiella?,relate
Inflammatory bowel disease (IBD),Salmonella,"Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014). The abundance of SCFA-producing bacteria that possess anti-inflammatory abilities is also observed to be reduced in IBD, which consequently exacerbates symptoms of IBD (Liu et al., 2021; Haneishi et al., 2023). Other non-bacterial microbiota, such as archaeome, mycobiome, virome, and eukaryotic parasites, also change in IBD (Matijašić et al., 2020). Further, the microbial community also differs in UC and CD patients (Qin et al., 2010).",What is the relationship between Inflammatory bowel disease (IBD) and Salmonella?,relate
liver disease,Lactobacillus,"However, the emergence of the AHR–microbiota axis prompted us to expand insights into other GI diseases, and AHR activity-related diseases including Alzheimer’s disease (Salminen, 2023), arthritis (Rosser et al., 2020), cardiovascular disease (Paeslack et al., 2022), psoriasis (Qiao et al., 2022), and so on. Consistently, the positive effect of Lactobacillus rhamnosus GG in alcohol-associated liver disease (ALD) was associated with its bacterial AHR ligand-enriched exosome-like nanoparticles (ELNPs), which increased expression of Reg3 and Nrf2 thereby improving barrier function (Gu et al., 2021b). Additionally, Bacillus subtilis KC1 enhanced AHR activation thus alleviating lung injury (Chen et al., 2023). Bifidobacterium longum CCFM1029 reshaped the gut microbial composition in atopic dermatitis patients, and activated the AHR-mediated immune response, alleviating related symptoms (Fang et al., 2022). ",What is the relationship between liver disease and Lactobacillus?,positive
liver disease,Lactobacillus rhamnosus,"However, the emergence of the AHR–microbiota axis prompted us to expand insights into other GI diseases, and AHR activity-related diseases including Alzheimer’s disease (Salminen, 2023), arthritis (Rosser et al., 2020), cardiovascular disease (Paeslack et al., 2022), psoriasis (Qiao et al., 2022), and so on. Consistently, the positive effect of Lactobacillus rhamnosus GG in alcohol-associated liver disease (ALD) was associated with its bacterial AHR ligand-enriched exosome-like nanoparticles (ELNPs), which increased expression of Reg3 and Nrf2 thereby improving barrier function (Gu et al., 2021b). Additionally, Bacillus subtilis KC1 enhanced AHR activation thus alleviating lung injury (Chen et al., 2023). Bifidobacterium longum CCFM1029 reshaped the gut microbial composition in atopic dermatitis patients, and activated the AHR-mediated immune response, alleviating related symptoms (Fang et al., 2022). ",What is the relationship between liver disease and Lactobacillus rhamnosus?,positive
mastitis,Lactobacillus,"Bifidobacterium longum CCFM1029 reshaped the gut microbial composition in atopic dermatitis patients, and activated the AHR-mediated immune response, alleviating related symptoms (Fang et al., 2022). Moreover, the AHR activated by Lactobacillus reuteri helps alleviate Escherichia coli-induced mastitis in mice (Zhao et al., 2021). In addition to probiotics, supplementation with dietary AHR ligands could alleviate Escherichia coli-induced endometritis in mice (Zhao et al., 2022). Withal, tapinarof, a bacteria-derived AHR agonist, has recently been indicated to resolve skin inflammation in mice and humans (Smith et al., 2017). ",What is the relationship between mastitis and Lactobacillus?,positive
mastitis,Lactobacillus reuteri,"Bifidobacterium longum CCFM1029 reshaped the gut microbial composition in atopic dermatitis patients, and activated the AHR-mediated immune response, alleviating related symptoms (Fang et al., 2022). Moreover, the AHR activated by Lactobacillus reuteri helps alleviate Escherichia coli-induced mastitis in mice (Zhao et al., 2021). In addition to probiotics, supplementation with dietary AHR ligands could alleviate Escherichia coli-induced endometritis in mice (Zhao et al., 2022). Withal, tapinarof, a bacteria-derived AHR agonist, has recently been indicated to resolve skin inflammation in mice and humans (Smith et al., 2017). ",What is the relationship between mastitis and Lactobacillus reuteri?,positive
mastitis,Escherichia,"Bifidobacterium longum CCFM1029 reshaped the gut microbial composition in atopic dermatitis patients, and activated the AHR-mediated immune response, alleviating related symptoms (Fang et al., 2022). Moreover, the AHR activated by Lactobacillus reuteri helps alleviate Escherichia coli-induced mastitis in mice (Zhao et al., 2021). In addition to probiotics, supplementation with dietary AHR ligands could alleviate Escherichia coli-induced endometritis in mice (Zhao et al., 2022). Withal, tapinarof, a bacteria-derived AHR agonist, has recently been indicated to resolve skin inflammation in mice and humans (Smith et al., 2017). ",What is the relationship between mastitis and Escherichia?,positive
Inflammatory bowel disease (IBD),Escherichia coli,"Briefly, although the results vary among multiple studies, the consensus is toward dysbiosis in IBD mainly being characterized by the decreased beneficial microorganisms with anti-inflammatory capacities (e.g. Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Suterella, Clostridium groups IV and XIVa, and Roseburia) (Mondot et al., 2011; Morgan et al., 2012; Quévrain et al., 2016; Zhou et al., 2018; Pittayanon et al., 2020; Zhou et al., 2021) together with increased bacteria with pro-inflammatory effects, such as Enterobacteriaceae (Escherichia coli and Fusobacterium (Palmela et al., 2018; Mirsepasi-Lauridsen et al., 2019)), Pasteurellaceae, Ruminococcus, and Veillonellaceae (Pittayanon et al., 2020). Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014). ",What is the relationship between Inflammatory bowel disease (IBD) and Escherichia coli?,positive
Inflammatory bowel disease (IBD),Fusobacterium,"Briefly, although the results vary among multiple studies, the consensus is toward dysbiosis in IBD mainly being characterized by the decreased beneficial microorganisms with anti-inflammatory capacities (e.g. Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Suterella, Clostridium groups IV and XIVa, and Roseburia) (Mondot et al., 2011; Morgan et al., 2012; Quévrain et al., 2016; Zhou et al., 2018; Pittayanon et al., 2020; Zhou et al., 2021) together with increased bacteria with pro-inflammatory effects, such as Enterobacteriaceae (Escherichia coli and Fusobacterium (Palmela et al., 2018; Mirsepasi-Lauridsen et al., 2019)), Pasteurellaceae, Ruminococcus, and Veillonellaceae (Pittayanon et al., 2020). Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014). ",What is the relationship between Inflammatory bowel disease (IBD) and Fusobacterium?,positive
Inflammatory bowel disease (IBD),Pasteurellaceae,"Briefly, although the results vary among multiple studies, the consensus is toward dysbiosis in IBD mainly being characterized by the decreased beneficial microorganisms with anti-inflammatory capacities (e.g. Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Suterella, Clostridium groups IV and XIVa, and Roseburia) (Mondot et al., 2011; Morgan et al., 2012; Quévrain et al., 2016; Zhou et al., 2018; Pittayanon et al., 2020; Zhou et al., 2021) together with increased bacteria with pro-inflammatory effects, such as Enterobacteriaceae (Escherichia coli and Fusobacterium (Palmela et al., 2018; Mirsepasi-Lauridsen et al., 2019)), Pasteurellaceae, Ruminococcus, and Veillonellaceae (Pittayanon et al., 2020). Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014). ",What is the relationship between Inflammatory bowel disease (IBD) and Pasteurellaceae?,positive
Inflammatory bowel disease (IBD),Ruminococcus,"Briefly, although the results vary among multiple studies, the consensus is toward dysbiosis in IBD mainly being characterized by the decreased beneficial microorganisms with anti-inflammatory capacities (e.g. Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Suterella, Clostridium groups IV and XIVa, and Roseburia) (Mondot et al., 2011; Morgan et al., 2012; Quévrain et al., 2016; Zhou et al., 2018; Pittayanon et al., 2020; Zhou et al., 2021) together with increased bacteria with pro-inflammatory effects, such as Enterobacteriaceae (Escherichia coli and Fusobacterium (Palmela et al., 2018; Mirsepasi-Lauridsen et al., 2019)), Pasteurellaceae, Ruminococcus, and Veillonellaceae (Pittayanon et al., 2020). Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014). ",What is the relationship between Inflammatory bowel disease (IBD) and Ruminococcus?,positive
Inflammatory bowel disease (IBD),Veillonellaceae,"Briefly, although the results vary among multiple studies, the consensus is toward dysbiosis in IBD mainly being characterized by the decreased beneficial microorganisms with anti-inflammatory capacities (e.g. Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Suterella, Clostridium groups IV and XIVa, and Roseburia) (Mondot et al., 2011; Morgan et al., 2012; Quévrain et al., 2016; Zhou et al., 2018; Pittayanon et al., 2020; Zhou et al., 2021) together with increased bacteria with pro-inflammatory effects, such as Enterobacteriaceae (Escherichia coli and Fusobacterium (Palmela et al., 2018; Mirsepasi-Lauridsen et al., 2019)), Pasteurellaceae, Ruminococcus, and Veillonellaceae (Pittayanon et al., 2020). Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014). ",What is the relationship between Inflammatory bowel disease (IBD) and Veillonellaceae?,positive
Inflammatory bowel disease (IBD),Helicobacter,"Briefly, although the results vary among multiple studies, the consensus is toward dysbiosis in IBD mainly being characterized by the decreased beneficial microorganisms with anti-inflammatory capacities (e.g. Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Suterella, Clostridium groups IV and XIVa, and Roseburia) (Mondot et al., 2011; Morgan et al., 2012; Quévrain et al., 2016; Zhou et al., 2018; Pittayanon et al., 2020; Zhou et al., 2021) together with increased bacteria with pro-inflammatory effects, such as Enterobacteriaceae (Escherichia coli and Fusobacterium (Palmela et al., 2018; Mirsepasi-Lauridsen et al., 2019)), Pasteurellaceae, Ruminococcus, and Veillonellaceae (Pittayanon et al., 2020). Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014). ",What is the relationship between Inflammatory bowel disease (IBD) and Helicobacter?,relate
Inflammatory bowel disease (IBD),Listeria,"Briefly, although the results vary among multiple studies, the consensus is toward dysbiosis in IBD mainly being characterized by the decreased beneficial microorganisms with anti-inflammatory capacities (e.g. Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Suterella, Clostridium groups IV and XIVa, and Roseburia) (Mondot et al., 2011; Morgan et al., 2012; Quévrain et al., 2016; Zhou et al., 2018; Pittayanon et al., 2020; Zhou et al., 2021) together with increased bacteria with pro-inflammatory effects, such as Enterobacteriaceae (Escherichia coli and Fusobacterium (Palmela et al., 2018; Mirsepasi-Lauridsen et al., 2019)), Pasteurellaceae, Ruminococcus, and Veillonellaceae (Pittayanon et al., 2020). Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014). ",What is the relationship between Inflammatory bowel disease (IBD) and Listeria?,relate
Inflammatory bowel disease (IBD),Klebsiella,"Briefly, although the results vary among multiple studies, the consensus is toward dysbiosis in IBD mainly being characterized by the decreased beneficial microorganisms with anti-inflammatory capacities (e.g. Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Suterella, Clostridium groups IV and XIVa, and Roseburia) (Mondot et al., 2011; Morgan et al., 2012; Quévrain et al., 2016; Zhou et al., 2018; Pittayanon et al., 2020; Zhou et al., 2021) together with increased bacteria with pro-inflammatory effects, such as Enterobacteriaceae (Escherichia coli and Fusobacterium (Palmela et al., 2018; Mirsepasi-Lauridsen et al., 2019)), Pasteurellaceae, Ruminococcus, and Veillonellaceae (Pittayanon et al., 2020). Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014). ",What is the relationship between Inflammatory bowel disease (IBD) and Klebsiella?,relate
Inflammatory bowel disease (IBD),Methanosphaera stadtmanae,"Briefly, although the results vary among multiple studies, the consensus is toward dysbiosis in IBD mainly being characterized by the decreased beneficial microorganisms with anti-inflammatory capacities (e.g. Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Suterella, Clostridium groups IV and XIVa, and Roseburia) (Mondot et al., 2011; Morgan et al., 2012; Quévrain et al., 2016; Zhou et al., 2018; Pittayanon et al., 2020; Zhou et al., 2021) together with increased bacteria with pro-inflammatory effects, such as Enterobacteriaceae (Escherichia coli and Fusobacterium (Palmela et al., 2018; Mirsepasi-Lauridsen et al., 2019)), Pasteurellaceae, Ruminococcus, and Veillonellaceae (Pittayanon et al., 2020). Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014). ",What is the relationship between Inflammatory bowel disease (IBD) and Methanosphaera stadtmanae?,relate
Inflammatory bowel disease (IBD),Salmonella,"Briefly, although the results vary among multiple studies, the consensus is toward dysbiosis in IBD mainly being characterized by the decreased beneficial microorganisms with anti-inflammatory capacities (e.g. Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Suterella, Clostridium groups IV and XIVa, and Roseburia) (Mondot et al., 2011; Morgan et al., 2012; Quévrain et al., 2016; Zhou et al., 2018; Pittayanon et al., 2020; Zhou et al., 2021) together with increased bacteria with pro-inflammatory effects, such as Enterobacteriaceae (Escherichia coli and Fusobacterium (Palmela et al., 2018; Mirsepasi-Lauridsen et al., 2019)), Pasteurellaceae, Ruminococcus, and Veillonellaceae (Pittayanon et al., 2020). Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014). ",What is the relationship between Inflammatory bowel disease (IBD) and Salmonella?,relate
Inflammatory bowel disease (IBD),Yersinia?,"Briefly, although the results vary among multiple studies, the consensus is toward dysbiosis in IBD mainly being characterized by the decreased beneficial microorganisms with anti-inflammatory capacities (e.g. Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Suterella, Clostridium groups IV and XIVa, and Roseburia) (Mondot et al., 2011; Morgan et al., 2012; Quévrain et al., 2016; Zhou et al., 2018; Pittayanon et al., 2020; Zhou et al., 2021) together with increased bacteria with pro-inflammatory effects, such as Enterobacteriaceae (Escherichia coli and Fusobacterium (Palmela et al., 2018; Mirsepasi-Lauridsen et al., 2019)), Pasteurellaceae, Ruminococcus, and Veillonellaceae (Pittayanon et al., 2020). Helicobacter, Listeria, Klebsiella, Methanosphaera stadtmanae, Salmonella, and Yersinia were also demonstrated related to the onset of IBD (Wang et al., 2014). ",What is the relationship between Inflammatory bowel disease (IBD) and Yersinia??,relate
ulcerative colitis (UC),Lactobacillus acidophilus,"As of now, some clinical trials have been presented the positive effects of probiotics on patients with IBD. Next, we listed some clinical trials and the altered fecal bacteria that might participate in the metabolism of BAs. In UC patients, administration of probiotic yogurt, which included Lactobacillus acidophilus La-5 and Bifidobacterium BB-12, led to increased numbers of Bifidobacterium, Lactobacillus and Bacteroides in feces (84). These three bacteria (genus level) might regulate the gut microbiota-BAs axis due to their BSH activities or other functions. BIFICO (Bifidobacterium longum, Lactobacillus acidophilus, and Enterococcus faecalis) prevented flare-ups of chronic UC by decreasing IL-1β and TNF-α levels, increasing IL-10 expression, and blocking Nuclear Factor kappa-light-chain-enhancer of activated B cells (NF-κB) activation. ",What is the relationship between ulcerative colitis (UC) and Lactobacillus acidophilus?,relate
ulcerative colitis (UC),Bifidobacterium,"As of now, some clinical trials have been presented the positive effects of probiotics on patients with IBD. Next, we listed some clinical trials and the altered fecal bacteria that might participate in the metabolism of BAs. In UC patients, administration of probiotic yogurt, which included Lactobacillus acidophilus La-5 and Bifidobacterium BB-12, led to increased numbers of Bifidobacterium, Lactobacillus and Bacteroides in feces (84). These three bacteria (genus level) might regulate the gut microbiota-BAs axis due to their BSH activities or other functions. BIFICO (Bifidobacterium longum, Lactobacillus acidophilus, and Enterococcus faecalis) prevented flare-ups of chronic UC by decreasing IL-1β and TNF-α levels, increasing IL-10 expression, and blocking Nuclear Factor kappa-light-chain-enhancer of activated B cells (NF-κB) activation. ",What is the relationship between ulcerative colitis (UC) and Bifidobacterium?,relate
ulcerative colitis (UC),Lactobacillus,"As of now, some clinical trials have been presented the positive effects of probiotics on patients with IBD. Next, we listed some clinical trials and the altered fecal bacteria that might participate in the metabolism of BAs. In UC patients, administration of probiotic yogurt, which included Lactobacillus acidophilus La-5 and Bifidobacterium BB-12, led to increased numbers of Bifidobacterium, Lactobacillus and Bacteroides in feces (84). These three bacteria (genus level) might regulate the gut microbiota-BAs axis due to their BSH activities or other functions. BIFICO (Bifidobacterium longum, Lactobacillus acidophilus, and Enterococcus faecalis) prevented flare-ups of chronic UC by decreasing IL-1β and TNF-α levels, increasing IL-10 expression, and blocking Nuclear Factor kappa-light-chain-enhancer of activated B cells (NF-κB) activation. ",What is the relationship between ulcerative colitis (UC) and Lactobacillus?,relate
ulcerative colitis (UC),Bacteroides,"As of now, some clinical trials have been presented the positive effects of probiotics on patients with IBD. Next, we listed some clinical trials and the altered fecal bacteria that might participate in the metabolism of BAs. In UC patients, administration of probiotic yogurt, which included Lactobacillus acidophilus La-5 and Bifidobacterium BB-12, led to increased numbers of Bifidobacterium, Lactobacillus and Bacteroides in feces (84). These three bacteria (genus level) might regulate the gut microbiota-BAs axis due to their BSH activities or other functions. BIFICO (Bifidobacterium longum, Lactobacillus acidophilus, and Enterococcus faecalis) prevented flare-ups of chronic UC by decreasing IL-1β and TNF-α levels, increasing IL-10 expression, and blocking Nuclear Factor kappa-light-chain-enhancer of activated B cells (NF-κB) activation. ",What is the relationship between ulcerative colitis (UC) and Bacteroides?,relate
ulcerative colitis (UC),Bifidobacterium breve,"Nevertheless, there exist some discrepant results of using probiotics in IBD. For example, Bifidobacterium breve fermented milk had no effect on relieving relapse in UC (100). In a small randomized double-blind placebo-controlled trial of UC, Lactobacillus acidophilus La-5 and Bifidobacterium animalis subsp. lactis BB-12 showed no significant clinical benefit (101). In another clinical trial, EcN did not improve the active UC followed by 7 weeks administration after ciprofloxacin or placebo intervention (102). With regard to CD, Bourreille et al. found that after steroid or salicylate treatment, Saccharomyces boulardii had no beneficial effect on CD patients in remission (103).",What is the relationship between ulcerative colitis (UC) and Bifidobacterium breve?,NA
ulcerative colitis (UC),Bifidobacterium,"Nevertheless, there exist some discrepant results of using probiotics in IBD. For example, Bifidobacterium breve fermented milk had no effect on relieving relapse in UC (100). In a small randomized double-blind placebo-controlled trial of UC, Lactobacillus acidophilus La-5 and Bifidobacterium animalis subsp. lactis BB-12 showed no significant clinical benefit (101). In another clinical trial, EcN did not improve the active UC followed by 7 weeks administration after ciprofloxacin or placebo intervention (102). With regard to CD, Bourreille et al. found that after steroid or salicylate treatment, Saccharomyces boulardii had no beneficial effect on CD patients in remission (103).",What is the relationship between ulcerative colitis (UC) and Bifidobacterium?,NA
ulcerative colitis (UC),Bifidobacterium breve,"Nevertheless, there exist some discrepant results of using probiotics in IBD. For example, Bifidobacterium breve fermented milk had no effect on relieving relapse in UC (100). In a small randomized double-blind placebo-controlled trial of UC, Lactobacillus acidophilus La-5 and Bifidobacterium animalis subsp. lactis BB-12 showed no significant clinical benefit (101). In another clinical trial, EcN did not improve the active UC followed by 7 weeks administration after ciprofloxacin or placebo intervention (102). With regard to CD, Bourreille et al. found that after steroid or salicylate treatment, Saccharomyces boulardii had no beneficial effect on CD patients in remission (103).",What is the relationship between ulcerative colitis (UC) and Bifidobacterium breve?,NA
ulcerative colitis (UC),Bifidobacterium,"Nevertheless, there exist some discrepant results of using probiotics in IBD. For example, Bifidobacterium breve fermented milk had no effect on relieving relapse in UC (100). In a small randomized double-blind placebo-controlled trial of UC, Lactobacillus acidophilus La-5 and Bifidobacterium animalis subsp. lactis BB-12 showed no significant clinical benefit (101). In another clinical trial, EcN did not improve the active UC followed by 7 weeks administration after ciprofloxacin or placebo intervention (102). With regard to CD, Bourreille et al. found that after steroid or salicylate treatment, Saccharomyces boulardii had no beneficial effect on CD patients in remission (103).",What is the relationship between ulcerative colitis (UC) and Bifidobacterium?,NA
ulcerative colitis (UC),Lactobacillus acidophilus,"Nevertheless, there exist some discrepant results of using probiotics in IBD. For example, Bifidobacterium breve fermented milk had no effect on relieving relapse in UC (100). In a small randomized double-blind placebo-controlled trial of UC, Lactobacillus acidophilus La-5 and Bifidobacterium animalis subsp. lactis BB-12 showed no significant clinical benefit (101). In another clinical trial, EcN did not improve the active UC followed by 7 weeks administration after ciprofloxacin or placebo intervention (102). With regard to CD, Bourreille et al. found that after steroid or salicylate treatment, Saccharomyces boulardii had no beneficial effect on CD patients in remission (103). ",What is the relationship between ulcerative colitis (UC) and Lactobacillus acidophilus?,relate
ulcerative colitis (UC),Bifidobacterium animalis,"Nevertheless, there exist some discrepant results of using probiotics in IBD. For example, Bifidobacterium breve fermented milk had no effect on relieving relapse in UC (100). In a small randomized double-blind placebo-controlled trial of UC, Lactobacillus acidophilus La-5 and Bifidobacterium animalis subsp. lactis BB-12 showed no significant clinical benefit (101). In another clinical trial, EcN did not improve the active UC followed by 7 weeks administration after ciprofloxacin or placebo intervention (102). With regard to CD, Bourreille et al. found that after steroid or salicylate treatment, Saccharomyces boulardii had no beneficial effect on CD patients in remission (103). ",What is the relationship between ulcerative colitis (UC) and Bifidobacterium animalis?,relate
